"id","name","is_members","lowalch","highalch","examine"
2351,"Iron bar",False,11,16,"It's a bar of iron."
161,"Super strength(1)",True,44,66,"1 dose of super Strength potion."
1317,"Adamant 2h sword",False,2560,3840,"A two handed sword."
1357,"Adamant axe",False,512,768,"A powerful axe."
7881,"Ghoul bone",True,0,0,"This needs a good polish."
6799,"Ghoul champion scroll",True,0,0,"It's a challenge from the Ghoul Champion!"
2347,"Hammer",False,0,0,"Good for hitting things!"
1363,"Iron battleaxe",False,72,109,"A vicious looking axe."
877,"Bronze bolts",False,0,0,"Bronze crossbow bolts."
991,"Muddy key",False,32,48,"It looks like the key to a chest."
2359,"Mithril bar",False,120,180,"It's a bar of mithril."
2142,"Cooked meat",False,1,2,"Mmm this looks tasty."
1375,"Bronze battleaxe",False,20,31,"A vicious looking axe."
2677,"Clue scroll (easy)",True,8,12,"A clue!"
1591,"Jail key",True,0,0,"Key to a cell."
1295,"Steel longsword",False,200,300,"A razor sharp longsword."
442,"Silver ore",False,30,45,"This needs refining."
2801,"Clue scroll (medium)",True,8,12,"A clue!"
239,"White berries",True,4,6,"Sour berries, used in potions."
231,"Snape grass",True,4,6,"Strange spiky grass."
1217,"Black dagger",False,96,144,"A vicious black dagger."
167,"Super defence(1)",True,52,79,"1 dose of super Defence potion."
993,"Sinister key",True,32,48,"You get a sense of dread from this key."
12823,"Spectral sigil",True,300000,450000,"A sigil in the shape of a spectral symbol."
9245,"Onyx bolts (e)",True,6000,9000,"Enchanted Onyx tipped Runite Crossbow Bolts."
2,"Cannonball",True,2,3,"Ammo for the Dwarf Cannon."
890,"Adamant arrow",False,32,48,"Arrows with adamant heads."
383,"Raw shark",True,68,102,"I should try cooking this."
7936,"Pure essence",False,1,2,"An uncharged Rune Stone of extra capability."
1753,"Green dragonhide",True,54,81,"The scaly rough hide from a Green Dragon."
451,"Runite ore",False,1280,1920,"This needs refining."
8780,"Teak plank",True,200,300,"A plank of fine teak."
6332,"Mahogany logs",True,20,30,"Some well-cut mahogany logs."
1513,"Magic logs",True,128,192,"Logs cut from a magic tree."
7060,"Tuna potato",True,45,67,"A baked potato with tuna and sweetcorn."
12819,"Elysian sigil",True,300000,450000,"A sigil in the shape of an elysian symbol."
5952,"Antidote++(4)",True,144,216,"4 doses of super strong antipoison potion."
12829,"Spirit shield",True,28000,42000,"An ethereal shield."
4091,"Mystic robe top",True,48000,72000,"The upper half of a magical robe."
25521,"Jar of spirits",True,0,0,"How does someone jar this?"
12816,"Pet dark core",True,0,0,"Isn't so annoying when in pet form."
1405,"Mystic air staff",True,17000,25500,"It's a slightly magical stick."
9140,"Iron bolts",True,0,1,"Iron crossbow bolts."
1446,"Body talisman",False,1,2,"A mysterious power emanates from the talisman..."
4119,"Bronze boots",True,9,14,"These will protect my feet."
227,"Vial of water",False,0,1,"A glass vial containing water."
235,"Unicorn horn dust",True,8,12,"Finely ground horn of Unicorn."
221,"Eye of newt",False,1,1,"It seems to be looking at me."
1779,"Flax",True,2,3,"I should use this with a spinning wheel."
5972,"Papaya fruit",True,25,38,"Looks delicious."
23962,"Crystal shard",True,"","","A shard of the finest crystal, from the crystal city itself."
11902,"Leaf-bladed sword",True,27200,40800,"A razor-sharp sword."
7978,"Kurask head",True,2400,3600,"I should get it stuffed!"
4111,"Mystic robe top (light)",True,48000,72000,"The upper half of a bright magical robe."
20727,"Leaf-bladed battleaxe",True,38400,57600,"A razor-sharp battleaxe."
4153,"Granite maul",True,20000,30000,"Simplicity is the best weapon."
2357,"Gold bar",False,120,180,"It's a bar of gold."
4101,"Mystic robe top (dark)",True,48000,72000,"The upper half of a dark magical robe."
21724,"Brittle key",True,0,0,"This key will take you to the top!."
1373,"Rune battleaxe",False,16640,24960,"A vicious looking axe."
25775,"Abyssal ashes",True,0,0,"A heap of ashes."
1365,"Steel battleaxe",False,260,390,"A vicious looking axe."
1454,"Cosmic talisman",True,1,2,"A mysterious power emanates from the talisman..."
13507,"Ensouled abyssal head",True,234,351,"The creature's soul is still in here. I could reanimate it with Master Reanimation."
7979,"Abyssal head",True,4800,7200,"I should get it stuffed!"
4151,"Abyssal whip",True,48000,72000,"A weapon from the abyss."
13265,"Abyssal dagger",True,46000,69000,"Something sharp from the body of a defeated Abyssal Sire."
7899,"Basilisk bone",True,0,0,"This needs a good polish."
7977,"Basilisk head",True,1600,2400,"I should get it stuffed!"
4109,"Mystic hat (light)",True,6000,9000,"A bright magical hat."
4121,"Iron boots",True,33,50,"These will protect my feet."
7976,"Cockatrice head",True,800,1200,"I should get it stuffed!"
4115,"Mystic gloves (light)",True,4000,6000,"Bright magical gloves."
447,"Mithril ore",False,64,97,"This needs refining."
1913,"Dwarven stout",False,0,1,"A pint of thick dark beer."
1215,"Dragon dagger",True,12000,18000,"A powerful dagger."
20736,"Dust battlestaff",True,6200,9300,"It's a slightly magical stick."
3140,"Dragon chainbody",True,100000,150000,"A series of connected metal rings."
4696,"Dust rune",True,8,12,"A combined Air and Earth Rune."
1213,"Rune dagger",False,3200,4800,"A powerful dagger."
1885,"Ugthanki kebab",True,8,12,"A fresh kebab made from ugthanki meat."
2489,"Red d'hide vambraces",True,1440,2160,"Vambraces made from 100% real dragonhide."
4113,"Mystic robe bottom (light)",True,32000,48000,"The lower half of a bright magical robe."
1993,"Jug of wine",False,0,0,"It's full of wine."
1387,"Staff of fire",False,600,900,"A Magical staff."
1145,"Adamant med helm",False,768,1152,"A medium sized helmet."
1734,"Thread",False,0,0,"Used with a needle to make clothes."
1311,"Steel 2h sword",False,400,600,"A two handed sword."
4107,"Mystic boots (dark)",True,4000,6000,"Dark magical boots."
1379,"Staff",False,6,9,"It's a slightly magical stick."
1059,"Leather gloves",False,2,3,"These will keep my hands warm!"
7975,"Crawling hand",True,400,600,"I should get it stuffed!"
2942,"Purple gloves",False,200,300,"These will keep my hands warm!"
1635,"Gold ring",False,140,210,"A valuable ring."
2355,"Silver bar",False,60,90,"It's a bar of silver."
1831,"Waterskin(0)",True,6,9,"A completely empty waterskin - you'll need to fill it up."
7902,"Desert lizard bone",True,0,0,"This needs a good polish."
6812,"Wyvern bones",True,64,96,"Bones of a large flying creature!"
6809,"Granite legs",True,26400,39600,"These look pretty heavy."
2434,"Prayer potion(4)",True,76,114,"4 doses of Prayer restore potion."
567,"Unpowered orb",True,40,60,"I'd prefer it if it was powered."
9465,"Runite crossbow (u)",True,6466,9700,"An unstrung runite crossbow."
1399,"Earth battlestaff",True,6200,9300,"It's a slightly magical stick."
1391,"Battlestaff",True,2800,4200,"It's a slightly magical stick."
1359,"Rune axe",False,5120,7680,"A powerful axe."
4694,"Steam rune",True,8,12,"A combined Water and Fire Rune."
569,"Fire orb",True,120,180,"A magic glowing orb."
1781,"Soda ash",True,0,1,"One of the ingredients for making glass."
1393,"Fire battlestaff",True,6200,9300,"It's a slightly magical stick."
1401,"Mystic fire staff",True,17000,25500,"It's a slightly magical stick."
1159,"Mithril full helm",False,572,858,"A full face helmet."
4544,"Bullseye lantern (unf)",True,120,180,"You need to add a lens before you can use it."
4517,"Giant frog legs",True,40,60,"This could feed a family of gnomes for a week!"
1440,"Earth talisman",False,1,2,"A mysterious power emanates from the talisman..."
7908,"Big frog leg",True,0,0,"This needs a good polish."
1939,"Swamp tar",True,0,0,"A foul smelling thick tar-like substance."
595,"Torch",False,0,0,"A lit home-made torch."
1351,"Bronze axe",False,6,9,"A woodcutter's axe."
1155,"Bronze full helm",False,17,26,"A full face helmet."
36,"Candle",True,1,1,"A candle."
1395,"Water battlestaff",True,6200,9300,"It's a slightly magical stick."
2293,"Meat pizza",False,20,30,"A pizza with bits of meat on it."
13495,"Ensouled bloodveld head",True,197,296,"The creature's soul is still in here. I could reanimate it with Expert Reanimation."
1181,"Mithril sq shield",False,624,936,"A medium square shield."
1383,"Staff of water",False,600,900,"A Magical staff."
1147,"Rune med helm",False,7680,11520,"A medium sized helmet."
1245,"Adamant spear",True,832,1248,"An adamantite tipped spear."
1925,"Bucket",False,0,1,"It's a wooden bucket."
571,"Water orb",True,120,180,"A magic glowing orb."
12004,"Kraken tentacle",True,33336,50004,"Ewwww... it's still sucky."
11907,"Trident of the seas",True,27400,41100,"A weapon from the deep."
1403,"Mystic water staff",True,17000,25500,"It's a slightly magical stick."
5316,"Magic seed",True,168,253,"Plant this in a plantpot of soil to grow a sapling."
1601,"Diamond",False,800,1200,"This looks valuable."
1347,"Rune warhammer",False,16600,24900,"I don't think it's intended for joinery."
8778,"Oak plank",True,100,150,"A plank of sturdy oak."
7944,"Raw monkfish",True,92,138,"I should try cooking this."
3051,"Grimy snapdragon",True,8,12,"It needs cleaning."
7114,"Pirate boots",True,140,210,"Not for land lubbers."
10925,"Sanfew serum(4)",True,120,180,"A 4 dose Sanfew Serum."
686,"Rusty sword",True,0,0,"A decent-enough weapon gone rusty."
12007,"Jar of dirt",True,0,0,"It's just a jar of dirt."
12655,"Pet kraken",True,"","","How.... is it walking?"
4695,"Mist rune",True,8,12,"A combined Air and Water Rune."
2501,"Red d'hide body",True,4492,6738,"Made from 100% real dragonhide."
12002,"Occult necklace",True,18000,27000,"A smokey evil embodies this amulet."
4697,"Smoke rune",True,8,12,"A combined Air and Fire Rune."
1371,"Adamant battleaxe",False,1664,2496,"A vicious looking axe."
1397,"Air battlestaff",True,6200,9300,"It's a slightly magical stick."
9438,"Crossbow string",True,0,0,"A string for a crossbow."
4587,"Dragon scimitar",True,40000,60000,"A vicious, curved sword."
11998,"Smoke battlestaff",True,6200,9300,"It gives a 10% accuracy and damage bonus for spells on the standard spellbook."
1775,"Molten glass",True,1,1,"Hot glass ready to be blown into useful objects."
1113,"Rune chainbody",False,20000,30000,"A series of connected metal rings."
9735,"Desert goat horn",True,4,7,"Not much good for blowing."
3049,"Grimy toadflax",True,7,11,"It needs cleaning."
9194,"Onyx bolt tips",True,400,600,"Onyx bolt tips."
1987,"Grapes",False,0,0,"Good grapes for wine making."
12648,"Pet smoke devil",True,0,0,"*cough*"
1333,"Rune scimitar",False,10240,15360,"A vicious, curved sword."
5667,"Rune knife(p++)",True,66,99,"A finely balanced throwing knife."
1017,"Wizard hat",False,0,1,"A silly pointed hat."
581,"Black robe",False,5,7,"I can do magic better in this."
1444,"Water talisman",False,1,2,"A mysterious power emanates from the talisman..."
954,"Rope",False,7,10,"A coil of rope."
946,"Knife",False,2,3,"A dangerous looking knife."
1153,"Iron full helm",False,61,92,"A full face helmet."
888,"Mithril arrow",False,12,19,"Arrows with mithril heads."
1019,"Black cape",False,2,4,"A warm black cape."
1291,"Bronze longsword",False,16,24,"A razor sharp longsword."
13471,"Ensouled chaos druid head",True,119,179,"The druid's soul is still in here. I could reanimate it with Adept Reanimation."
1025,"Right eye patch",True,0,1,"A black piece of cloth on a string."
1949,"Chef's hat",False,0,1,"What a silly hat."
1321,"Bronze scimitar",False,12,19,"A vicious, curved sword."
1965,"Cabbage",False,0,0,"Yuck I don't like cabbage."
1033,"Zamorak monk bottom",False,12,18,"A robe worn by worshippers of Zamorak."
2944,"Golden key",True,120,180,"A replica key made of solid gold."
1525,"Grimy snake weed",True,0,0,"It needs cleaning."
3188,"Cleaning cloth",True,24,36,"A spirit soaked piece of silk which can be used to remove poison."
183,"Superantipoison(2)",True,86,129,"2 doses of super antipoison potion."
827,"Steel javelin",True,9,14,"A steel tipped javelin."
181,"Superantipoison(3)",True,115,172,"3 doses of super antipoison potion."
2309,"Bread",False,4,7,"Nice crispy bread."
887,"Steel arrow(p)",True,4,7,"Venomous-looking arrows."
6034,"Supercompost",True,34,51,"Super-good for the smallest or largest of plants."
434,"Clay",False,0,0,"Some hard dry clay."
9141,"Steel bolts",True,3,4,"Steel crossbow bolts."
1209,"Mithril dagger",False,130,195,"A dangerous dagger."
6721,"Rusty scimitar",True,0,0,"A decent enough weapon gone rusty."
8926,"Bandana eyepatch",True,40,60,"Essential pirate wear."
10894,"Brain tongs",True,0,0,"Some tongs for use with brains."
10895,"Bell jar",True,0,0,"A bell jar for covering things."
10904,"Skull staple",True,"","","One skull staple."
8925,"Bandana eyepatch",True,40,60,"Essential pirate wear."
1329,"Mithril scimitar",False,416,624,"A vicious, curved sword."
6716,"Karamthulhu",True,0,0,"A sinister looking squid."
6718,"Fever spider body",True,0,0,"A diseased deceased Fever Spider. Handle with care."
1141,"Steel med helm",False,120,180,"A medium sized helmet."
1341,"Black warhammer",False,392,588,"I don't think it's intended for joinery."
353,"Raw mackerel",True,6,9,"I should try cooking this."
7884,"Troll bone",True,0,0,"This needs a good polish."
13483,"Ensouled troll head",True,153,230,"The creature's soul is still in here. I could reanimate it with Adept Reanimation."
359,"Raw tuna",False,16,24,"I should try cooking this."
1125,"Black platebody",False,1536,2304,"Provides excellent protection."
10999,"Goblin book",True,0,0,"A tattered goblin holy book."
7812,"Goblin skull",True,0,0,"This needs a good polish."
13447,"Ensouled goblin head",True,20,31,"The creature's soul is still in here. I could reanimate it with Basic Reanimation."
6801,"Goblin champion scroll",True,0,0,"It's a challenge from the Goblin Champion!"
4673,"Shadow diamond",True,100,150,"The Diamond of Shadow."
1656,"Sapphire necklace",False,420,630,"I wonder if this is valuable."
2566,"Ring of dueling(1)",True,510,765,"An enchanted ring."
950,"Silk",False,12,18,"It's a sheet of silk."
970,"Papyrus",True,4,6,"Used for making notes."
405,"Casket",True,20,30,"I hope there's treasure in it."
1185,"Rune sq shield",False,15360,23040,"A medium square shield."
1673,"Gold amulet (u)",False,140,210,"It needs a string so I can wear it."
4600,"Willow blackjack",True,240,360,"A handy little club made out of willow."
9080,"Suqah hide",True,24,36,"An untanned piece of Suqah hide."
9103,"A special tiara",True,12,18,"I'll be the talk of the town with this... maybe."
9079,"Suqah tooth",True,8,12,"The tooth, the whole tooth, and nothing but the tooth."
4699,"Lava rune",True,8,12,"A combined Earth and Fire Rune."
363,"Raw bass",True,16,24,"I should try cooking this."
10143,"Marrentill tar",True,0,0,"A thick, foul-smelling, tar-like substance with an orange tinge."
10581,"Keris",True,4000,6000,"A mystical-feeling dagger."
1535,"Map part",False,0,0,"A piece of the map to Crandor."
4850,"Ogre coffin key",True,40,60,"A key which opens coffins!."
7848,"Zogre bone",True,0,0,"This needs a good polish."
4812,"Zogre bones",True,0,0,"A pile of Zombie Ogre bones."
4834,"Ourg bones",True,0,0,"Ancient ogre bones from the ogre burial tomb."
4818,"Ogre artefact",True,0,0,"An ancient ogre artefact - resembling a heavy large helm."
4205,"Consecration seed",True,0,0,"This consecration seed looks grey and dead."
1119,"Steel platebody",False,800,1200,"Provides excellent protection."
